dteday,season,hr,holiday,workingday,weathersit,casual,registered,cnt,season_cat
2011-01-06,1,11,0,1,1,2,57,59,springer
2011-01-06,1,12,0,1,1,6,78,84,springer
2011-01-06,1,13,0,1,1,12,55,67,springer
2011-01-06,1,14,0,1,1,11,59,70,springer
2011-01-06,1,15,0,1,1,8,54,62,springer
2011-01-06,1,16,0,1,1,12,74,86,springer
2011-01-06,1,17,0,1,1,9,163,172,springer
2011-01-06,1,18,0,1,1,5,158,163,springer
2011-01-06,1,19,0,1,1,3,109,112,springer
2011-01-06,1,20,0,1,1,3,66,69,springer
2011-01-06,1,21,0,1,2,0,48,48,springer
2011-01-06,1,22,0,1,2,1,51,52,springer
2011-01-06,1,23,0,1,2,4,19,23,springer
2011-01-07,1,0,0,1,2,4,13,17,springer
2011-01-07,1,1,0,1,2,2,5,7,springer
2011-01-07,1,2,0,1,2,0,1,1,springer
2011-01-07,1,4,0,1,2,0,1,1,springer
2011-01-07,1,5,0,1,3,0,5,5,springer
2011-01-07,1,6,0,1,2,8,26,34,springer
2011-01-07,1,7,0,1,1,8,76,84,springer
2011-01-07,1,8,0,1,1,20,190,210,springer
2011-01-07,1,9,0,1,1,9,125,134,springer
2011-01-07,1,10,0,1,1,16,47,63,springer
2011-01-07,1,11,0,1,2,19,48,67,springer
2011-01-07,1,12,0,1,2,9,50,59,springer
2011-01-07,1,13,0,1,2,9,64,73,springer
2011-01-07,1,14,0,1,2,7,43,50,springer
2011-01-07,1,15,0,1,2,9,63,72,springer
2011-01-07,1,16,0,1,2,5,82,87,springer
2011-01-07,1,17,0,1,2,9,178,187,springer
2011-01-07,1,18,0,1,1,7,116,123,springer
2011-01-07,1,19,0,1,1,3,92,95,springer
2011-01-07,1,20,0,1,1,1,50,51,springer
2011-01-07,1,21,0,1,1,0,39,39,springer
2011-01-07,1,22,0,1,2,2,34,36,springer
2011-01-07,1,23,0,1,2,1,14,15,springer
2011-01-08,1,0,0,0,2,1,24,25,springer
2011-01-08,1,1,0,0,2,1,15,16,springer
2011-01-08,1,2,0,0,2,3,13,16,springer
2011-01-08,1,3,0,0,3,0,7,7,springer
2011-01-08,1,4,0,0,3,0,1,1,springer
2011-01-08,1,5,0,0,2,0,5,5,springer
2011-01-08,1,6,0,0,2,0,2,2,springer
2011-01-08,1,7,0,0,2,1,8,9,springer
2011-01-08,1,8,0,0,3,0,15,15,springer
2011-01-08,1,9,0,0,3,0,20,20,springer
2011-01-08,1,10,0,0,2,5,56,61,springer
2011-01-08,1,11,0,0,2,2,60,62,springer
2011-01-08,1,12,0,0,2,8,90,98,springer
2011-01-08,1,13,0,0,1,7,95,102,springer
2011-01-08,1,14,0,0,1,12,83,95,springer
2011-01-08,1,15,0,0,1,5,69,74,springer
2011-01-08,1,16,0,0,1,8,68,76,springer
2011-01-08,1,17,0,0,1,5,64,69,springer
2011-01-08,1,18,0,0,1,3,52,55,springer
2011-01-08,1,19,0,0,1,4,26,30,springer
2011-01-08,1,20,0,0,1,0,28,28,springer
2011-01-08,1,21,0,0,1,2,35,37,springer
2011-01-08,1,22,0,0,1,1,33,34,springer
2011-01-08,1,23,0,0,1,0,22,22,springer
2011-01-09,1,0,0,0,1,1,24,25,springer
2011-01-09,1,1,0,0,1,0,12,12,springer
2011-01-09,1,2,0,0,1,0,11,11,springer
2011-01-09,1,3,0,0,1,0,4,4,springer
2011-01-09,1,4,0,0,1,0,1,1,springer
2011-01-09,1,5,0,0,1,0,1,1,springer
2011-01-09,1,6,0,0,1,0,1,1,springer
2011-01-09,1,7,0,0,1,1,5,6,springer
2011-01-09,1,8,0,0,1,0,10,10,springer
2011-01-09,1,9,0,0,1,0,19,19,springer
2011-01-09,1,10,0,0,1,0,49,49,springer
2011-01-09,1,11,0,0,1,2,47,49,springer
2011-01-09,1,12,0,0,1,4,79,83,springer
2011-01-09,1,13,0,0,1,6,69,75,springer
2011-01-09,1,14,0,0,1,8,64,72,springer
2011-01-09,1,15,0,0,1,5,77,82,springer
2011-01-09,1,16,0,0,1,13,79,92,springer
2011-01-09,1,17,0,0,1,3,59,62,springer
2011-01-09,1,18,0,0,1,4,44,48,springer
2011-01-09,1,19,0,0,1,1,40,41,springer
2011-01-09,1,20,0,0,1,0,38,38,springer
2011-01-09,1,21,0,0,1,1,19,20,springer
2011-01-09,1,22,0,0,1,5,10,15,springer
2011-01-09,1,23,0,0,1,0,6,6,springer
2011-01-10,1,0,0,1,1,2,3,5,springer
2011-01-10,1,1,0,1,1,1,0,1,springer
2011-01-10,1,2,0,1,1,0,3,3,springer
2011-01-10,1,3,0,1,1,0,1,1,springer
2011-01-10,1,4,0,1,1,1,2,3,springer
2011-01-10,1,5,0,1,1,0,3,3,springer
2011-01-10,1,6,0,1,1,0,31,31,springer
2011-01-10,1,7,0,1,1,2,75,77,springer
2011-01-10,1,8,0,1,2,4,184,188,springer
2011-01-10,1,9,0,1,2,2,92,94,springer
2011-01-10,1,10,0,1,2,0,31,31,springer
2011-01-10,1,11,0,1,2,2,28,30,springer
2011-01-10,1,12,0,1,2,5,47,52,springer
2011-01-10,1,13,0,1,2,4,50,54,springer
2011-01-10,1,14,0,1,2,0,47,47,springer
2011-01-10,1,15,0,1,2,2,43,45,springer
2011-01-10,1,16,0,1,1,4,70,74,springer
2011-01-10,1,17,0,1,1,4,174,178,springer
2011-01-10,1,18,0,1,1,1,154,155,springer
2011-01-10,1,19,0,1,1,3,92,95,springer
2011-01-10,1,20,0,1,1,1,73,74,springer
2011-01-10,1,21,0,1,1,1,37,38,springer
2011-01-10,1,22,0,1,1,2,22,24,springer
2011-01-10,1,23,0,1,1,0,18,18,springer
2011-01-11,1,0,0,1,1,2,10,12,springer
2011-01-11,1,1,0,1,1,0,3,3,springer
2011-01-11,1,2,0,1,2,0,3,3,springer
2011-01-11,1,5,0,1,2,0,6,6,springer
2011-01-11,1,6,0,1,2,0,27,27,springer
2011-01-11,1,7,0,1,2,2,97,99,springer
2011-01-11,1,8,0,1,2,3,214,217,springer
2011-01-11,1,9,0,1,2,3,127,130,springer
2011-01-11,1,10,0,1,2,3,51,54,springer
2011-01-11,1,11,0,1,2,4,31,35,springer
2011-01-11,1,12,0,1,2,2,55,57,springer
2011-01-11,1,13,0,1,2,6,46,52,springer
2011-01-11,1,14,0,1,2,3,60,63,springer
2011-01-11,1,15,0,1,2,2,45,47,springer
2011-01-11,1,16,0,1,2,4,72,76,springer
2011-01-11,1,17,0,1,2,6,130,136,springer
2011-01-11,1,18,0,1,3,1,94,95,springer
2011-01-11,1,19,0,1,3,0,51,51,springer
2011-01-11,1,20,0,1,3,0,32,32,springer
2011-01-11,1,21,0,1,3,0,20,20,springer
2011-01-11,1,22,0,1,3,1,28,29,springer
2011-01-11,1,23,0,1,3,1,18,19,springer
2011-01-12,1,0,0,1,2,0,7,7,springer
2011-01-12,1,1,0,1,2,0,6,6,springer
2011-01-12,1,2,0,1,1,0,1,1,springer
2011-01-12,1,5,0,1,1,0,5,5,springer
2011-01-12,1,6,0,1,1,0,16,16,springer
2011-01-12,1,7,0,1,1,0,54,54,springer
2011-01-12,1,8,0,1,1,3,125,128,springer
2011-01-12,1,9,0,1,1,3,78,81,springer
2011-01-12,1,10,0,1,1,0,39,39,springer
2011-01-12,1,11,0,1,1,3,32,35,springer
2011-01-12,1,12,0,1,1,3,52,55,springer
2011-01-12,1,13,0,1,1,0,49,49,springer
2011-01-12,1,14,0,1,1,0,44,44,springer
2011-01-12,1,15,0,1,1,1,48,49,springer
2011-01-12,1,16,0,1,1,5,63,68,springer
2011-01-12,1,17,0,1,1,0,139,139,springer
2011-01-12,1,18,0,1,1,2,135,137,springer
2011-01-12,1,19,0,1,1,1,82,83,springer
2011-01-12,1,20,0,1,1,2,54,56,springer
2011-01-12,1,21,0,1,1,0,57,57,springer
2011-01-12,1,22,0,1,1,1,32,33,springer
2011-01-12,1,23,0,1,1,1,19,20,springer
2011-01-13,1,0,0,1,1,1,6,7,springer
2011-01-13,1,1,0,1,1,0,2,2,springer
2011-01-13,1,2,0,1,1,0,2,2,springer
2011-01-13,1,3,0,1,1,0,3,3,springer
2011-01-13,1,4,0,1,1,0,4,4,springer
2011-01-13,1,5,0,1,1,0,3,3,springer
2011-01-13,1,6,0,1,1,0,28,28,springer
2011-01-13,1,7,0,1,1,0,72,72,springer
2011-01-13,1,8,0,1,1,5,197,202,springer
2011-01-13,1,9,0,1,1,2,137,139,springer
2011-01-13,1,10,0,1,2,2,36,38,springer
2011-01-13,1,11,0,1,2,4,33,37,springer
2011-01-13,1,12,0,1,1,3,49,52,springer
2011-01-13,1,13,0,1,1,2,81,83,springer
2011-01-13,1,14,0,1,1,3,39,42,springer
2011-01-13,1,15,0,1,1,5,55,60,springer
2011-01-13,1,16,0,1,1,2,76,78,springer
2011-01-13,1,17,0,1,1,4,158,162,springer
2011-01-13,1,18,0,1,1,3,141,144,springer
2011-01-13,1,19,0,1,1,1,98,99,springer
2011-01-13,1,20,0,1,1,0,64,64,springer
2011-01-13,1,21,0,1,1,0,40,40,springer
2011-01-13,1,22,0,1,1,0,30,30,springer
2011-01-13,1,23,0,1,1,1,14,15,springer
2011-01-14,1,0,0,1,1,0,14,14,springer
2011-01-14,1,1,0,1,1,0,5,5,springer
2011-01-14,1,2,0,1,1,0,1,1,springer
2011-01-14,1,3,0,1,1,0,1,1,springer
2011-01-14,1,5,0,1,1,0,8,8,springer
2011-01-14,1,6,0,1,1,0,17,17,springer
2011-01-14,1,7,0,1,1,0,70,70,springer
2011-01-14,1,8,0,1,1,2,156,158,springer
2011-01-14,1,9,0,1,1,0,117,117,springer
2011-01-14,1,10,0,1,1,4,40,44,springer
2011-01-14,1,11,0,1,1,6,47,53,springer
2011-01-14,1,12,0,1,1,2,59,61,springer
2011-01-14,1,13,0,1,1,4,73,77,springer
2011-01-14,1,14,0,1,1,5,59,64,springer
2011-01-14,1,15,0,1,1,9,59,68,springer
2011-01-14,1,16,0,1,1,3,87,90,springer
2011-01-14,1,17,0,1,1,4,155,159,springer
2011-01-14,1,18,0,1,1,5,134,139,springer
2011-01-14,1,19,0,1,1,3,89,92,springer
2011-01-14,1,20,0,1,1,0,68,68,springer
2011-01-14,1,21,0,1,1,4,48,52,springer
2011-01-14,1,22,0,1,2,2,34,36,springer
2011-01-14,1,23,0,1,2,1,26,27,springer
2011-01-15,1,0,0,0,1,3,25,28,springer
2011-01-15,1,1,0,0,2,2,18,20,springer
2011-01-15,1,2,0,0,2,0,12,12,springer
2011-01-15,1,3,0,0,2,1,7,8,springer
2011-01-15,1,4,0,0,2,0,5,5,springer
2011-01-15,1,5,0,0,1,0,1,1,springer
2011-01-15,1,6,0,0,1,1,2,3,springer
2011-01-15,1,7,0,0,1,1,9,10,springer
2011-01-15,1,8,0,0,1,1,22,23,springer
2011-01-15,1,9,0,0,1,2,31,33,springer
2011-01-15,1,10,0,0,1,2,57,59,springer
2011-01-15,1,11,0,0,1,18,54,72,springer
2011-01-15,1,12,0,0,1,15,74,89,springer
2011-01-15,1,13,0,0,1,21,80,101,springer
2011-01-15,1,14,0,0,1,26,92,118,springer
2011-01-15,1,15,0,0,2,21,108,129,springer
2011-01-15,1,16,0,0,2,33,95,128,springer
2011-01-15,1,17,0,0,2,29,54,83,springer
2011-01-15,1,18,0,0,2,15,69,84,springer
2011-01-15,1,19,0,0,2,14,60,74,springer
2011-01-15,1,20,0,0,2,6,35,41,springer
2011-01-15,1,21,0,0,2,6,51,57,springer
2011-01-15,1,22,0,0,2,0,26,26,springer
2011-01-15,1,23,0,0,1,5,39,44,springer
2011-01-16,1,0,0,0,1,6,33,39,springer
2011-01-16,1,1,0,0,1,4,19,23,springer
2011-01-16,1,2,0,0,1,3,13,16,springer
2011-01-16,1,3,0,0,1,9,6,15,springer
2011-01-16,1,4,0,0,1,0,1,1,springer
2011-01-16,1,5,0,0,2,1,1,2,springer
2011-01-16,1,6,0,0,2,0,1,1,springer
2011-01-16,1,7,0,0,2,0,3,3,springer
2011-01-16,1,8,0,0,1,0,18,18,springer
2011-01-16,1,9,0,0,1,3,29,32,springer
2011-01-16,1,10,0,0,1,8,71,79,springer
2011-01-16,1,11,0,0,1,23,70,93,springer
2011-01-16,1,12,0,0,1,29,75,104,springer
2011-01-16,1,13,0,0,1,23,95,118,springer
2011-01-16,1,14,0,0,1,22,69,91,springer
2011-01-16,1,15,0,0,1,35,78,113,springer
2011-01-16,1,16,0,0,1,22,77,99,springer
2011-01-16,1,17,0,0,1,23,82,105,springer
2011-01-16,1,18,0,0,1,11,56,67,springer
2011-01-16,1,19,0,0,1,14,47,61,springer
2011-01-16,1,20,0,0,1,7,50,57,springer
2011-01-16,1,21,0,0,1,6,22,28,springer
2011-01-16,1,22,0,0,2,2,19,21,springer
2011-01-16,1,23,0,0,2,0,18,18,springer
2011-01-17,1,0,1,0,2,1,16,17,springer
2011-01-17,1,1,1,0,2,1,15,16,springer
2011-01-17,1,2,1,0,2,0,8,8,springer
2011-01-17,1,3,1,0,2,0,2,2,springer
2011-01-17,1,4,1,0,2,1,2,3,springer
2011-01-17,1,5,1,0,2,0,1,1,springer
2011-01-17,1,6,1,0,2,0,5,5,springer
2011-01-17,1,7,1,0,2,4,9,13,springer
2011-01-17,1,8,1,0,2,3,30,33,springer
2011-01-17,1,9,1,0,2,8,39,47,springer
2011-01-17,1,10,1,0,2,7,50,57,springer
2011-01-17,1,11,1,0,2,9,55,64,springer
2011-01-17,1,12,1,0,2,10,70,80,springer
2011-01-17,1,13,1,0,2,13,80,93,springer
2011-01-17,1,14,1,0,2,12,74,86,springer
2011-01-17,1,15,1,0,2,21,72,93,springer
2011-01-17,1,16,1,0,2,6,76,82,springer
2011-01-17,1,17,1,0,1,4,67,71,springer
2011-01-17,1,18,1,0,2,7,85,92,springer
2011-01-17,1,19,1,0,3,2,58,60,springer
2011-01-17,1,20,1,0,3,4,29,33,springer
2011-01-17,1,21,1,0,3,3,24,27,springer
2011-01-17,1,22,1,0,3,0,13,13,springer
2011-01-17,1,23,1,0,3,1,3,4,springer
2011-01-18,1,12,0,1,2,0,3,3,springer
2011-01-18,1,13,0,1,2,0,22,22,springer
2011-01-18,1,14,0,1,2,2,26,28,springer
2011-01-18,1,15,0,1,2,3,32,35,springer
2011-01-18,1,16,0,1,2,0,61,61,springer
2011-01-18,1,17,0,1,2,1,124,125,springer
2011-01-18,1,18,0,1,2,1,132,133,springer
2011-01-18,1,19,0,1,2,1,98,99,springer
2011-01-18,1,20,0,1,2,0,83,83,springer
2011-01-18,1,21,0,1,2,0,41,41,springer
2011-01-18,1,22,0,1,2,0,33,33,springer
2011-01-18,1,23,0,1,2,1,19,20,springer
2011-01-19,1,0,0,1,2,0,3,3,springer
2011-01-19,1,1,0,1,3,1,6,7,springer
2011-01-19,1,2,0,1,3,0,3,3,springer
2011-01-19,1,4,0,1,3,1,1,2,springer
2011-01-19,1,5,0,1,2,0,7,7,springer
2011-01-19,1,6,0,1,2,0,32,32,springer
2011-01-19,1,7,0,1,2,1,89,90,springer
2011-01-19,1,8,0,1,2,1,196,197,springer
2011-01-19,1,9,0,1,2,2,107,109,springer
2011-01-19,1,10,0,1,2,1,46,47,springer
2011-01-19,1,11,0,1,2,5,47,52,springer
2011-01-19,1,12,0,1,2,5,65,70,springer
2011-01-19,1,13,0,1,1,11,67,78,springer
2011-01-19,1,14,0,1,1,7,68,75,springer
2011-01-19,1,15,0,1,1,4,78,82,springer
2011-01-19,1,16,0,1,1,10,94,104,springer
2011-01-19,1,17,0,1,1,7,190,197,springer
2011-01-19,1,18,0,1,1,5,156,161,springer
2011-01-19,1,19,0,1,1,4,108,112,springer
2011-01-19,1,20,0,1,1,2,74,76,springer
2011-01-19,1,21,0,1,1,4,55,59,springer
2011-01-19,1,22,0,1,1,6,53,59,springer
2011-01-19,1,23,0,1,1,1,27,28,springer
2011-01-20,1,0,0,1,1,5,8,13,springer
2011-01-20,1,1,0,1,1,2,3,5,springer
2011-01-20,1,2,0,1,1,0,2,2,springer
2011-01-20,1,3,0,1,1,0,1,1,springer
2011-01-20,1,4,0,1,1,0,1,1,springer
2011-01-20,1,5,0,1,1,0,6,6,springer
2011-01-20,1,6,0,1,1,0,35,35,springer
2011-01-20,1,7,0,1,1,1,100,101,springer
2011-01-20,1,8,0,1,1,2,247,249,springer
2011-01-20,1,9,0,1,2,3,140,143,springer
2011-01-20,1,10,0,1,1,1,56,57,springer
2011-01-20,1,11,0,1,2,5,63,68,springer
2011-01-20,1,12,0,1,2,7,77,84,springer
2011-01-20,1,13,0,1,2,12,86,98,springer
2011-01-20,1,14,0,1,2,6,75,81,springer
2011-01-20,1,15,0,1,2,8,62,70,springer
2011-01-20,1,16,0,1,2,8,83,91,springer
2011-01-20,1,17,0,1,2,8,207,215,springer
2011-01-20,1,18,0,1,2,1,184,185,springer
2011-01-20,1,19,0,1,1,6,146,152,springer
2011-01-20,1,20,0,1,2,2,124,126,springer
2011-01-20,1,21,0,1,2,3,54,57,springer
2011-01-20,1,22,0,1,2,0,56,56,springer
2011-01-20,1,23,0,1,2,3,28,31,springer
2011-01-21,1,0,0,1,2,1,20,21,springer
2011-01-21,1,1,0,1,2,0,6,6,springer
2011-01-21,1,2,0,1,3,0,2,2,springer
2011-01-21,1,3,0,1,3,0,1,1,springer
2011-01-21,1,4,0,1,2,0,1,1,springer
2011-01-21,1,5,0,1,1,1,4,5,springer
2011-01-21,1,6,0,1,1,0,27,27,springer
2011-01-21,1,7,0,1,1,2,66,68,springer
2011-01-21,1,8,0,1,1,7,210,217,springer
2011-01-21,1,9,0,1,1,7,159,166,springer
2011-01-21,1,10,0,1,1,6,57,63,springer
2011-01-21,1,11,0,1,1,6,53,59,springer
2011-01-21,1,12,0,1,1,11,67,78,springer
2011-01-21,1,13,0,1,1,8,65,73,springer
2011-01-21,1,14,0,1,1,6,56,62,springer
2011-01-21,1,15,0,1,1,4,61,65,springer
2011-01-21,1,16,0,1,1,0,97,97,springer
2011-01-21,1,17,0,1,1,10,151,161,springer
2011-01-21,1,18,0,1,1,1,119,120,springer
2011-01-21,1,19,0,1,1,3,93,96,springer
2011-01-21,1,20,0,1,1,1,52,53,springer
2011-01-21,1,21,0,1,1,0,41,41,springer
2011-01-21,1,22,0,1,1,1,33,34,springer
2011-01-21,1,23,0,1,1,0,27,27,springer
2011-01-22,1,0,0,0,1,0,13,13,springer
2011-01-22,1,1,0,0,2,3,9,12,springer
2011-01-22,1,2,0,0,2,0,11,11,springer
2011-01-22,1,3,0,0,2,1,6,7,springer
2011-01-22,1,4,0,0,2,0,3,3,springer
2011-01-22,1,6,0,0,2,0,2,2,springer
2011-01-22,1,7,0,0,1,0,8,8,springer
2011-01-22,1,8,0,0,1,1,26,27,springer
2011-01-22,1,9,0,0,1,3,37,40,springer
2011-01-22,1,10,0,0,2,3,50,53,springer
2011-01-22,1,11,0,0,2,4,59,63,springer
2011-01-22,1,12,0,0,2,10,60,70,springer
2011-01-22,1,13,0,0,1,12,72,84,springer
2011-01-22,1,14,0,0,1,11,64,75,springer
2011-01-22,1,15,0,0,1,10,93,103,springer
2011-01-22,1,16,0,0,1,11,72,83,springer
2011-01-22,1,17,0,0,1,8,59,67,springer
2011-01-22,1,18,0,0,1,0,54,54,springer
2011-01-22,1,19,0,0,1,6,53,59,springer
2011-01-22,1,20,0,0,1,1,44,45,springer
2011-01-22,1,21,0,0,1,0,39,39,springer
2011-01-22,1,22,0,0,1,7,23,30,springer
2011-01-22,1,23,0,0,1,2,31,33,springer
2011-01-23,1,0,0,0,1,2,20,22,springer
2011-01-23,1,1,0,0,1,1,12,13,springer
2011-01-23,1,2,0,0,1,3,15,18,springer
2011-01-23,1,3,0,0,1,1,4,5,springer
2011-01-23,1,5,0,0,2,0,3,3,springer
2011-01-23,1,6,0,0,2,0,1,1,springer
2011-01-23,1,7,0,0,1,1,1,2,springer
2011-01-23,1,8,0,0,1,2,17,19,springer
2011-01-23,1,9,0,0,1,3,25,28,springer
2011-01-23,1,10,0,0,1,7,51,58,springer
2011-01-23,1,11,0,0,1,22,77,99,springer
2011-01-23,1,12,0,0,1,24,92,116,springer
2011-01-23,1,13,0,0,1,12,75,87,springer
2011-01-23,1,14,0,0,1,17,93,110,springer
2011-01-23,1,15,0,0,1,13,64,77,springer
2011-01-23,1,16,0,0,1,9,56,65,springer
2011-01-23,1,17,0,0,1,5,50,55,springer
2011-01-23,1,18,0,0,1,5,44,49,springer
2011-01-23,1,19,0,0,1,5,45,50,springer
2011-01-23,1,20,0,0,1,4,31,35,springer
2011-01-23,1,21,0,0,1,5,20,25,springer
2011-01-23,1,22,0,0,1,5,23,28,springer
2011-01-23,1,23,0,0,1,4,17,21,springer
2011-01-24,1,0,0,1,1,0,7,7,springer
2011-01-24,1,1,0,1,1,0,1,1,springer
2011-01-24,1,3,0,1,1,0,1,1,springer
2011-01-24,1,4,0,1,1,0,1,1,springer
2011-01-24,1,5,0,1,1,0,5,5,springer
2011-01-24,1,6,0,1,1,0,15,15,springer
2011-01-24,1,7,0,1,1,5,79,84,springer
2011-01-24,1,8,0,1,1,6,171,177,springer
2011-01-24,1,9,0,1,1,4,98,102,springer
2011-01-24,1,10,0,1,1,6,34,40,springer
